bus;type;Qmax;Qmin;Pmax;Pmin
Node_0;pv;0;0;;0
Node_1;pv;0;0;;0
Node_2;pv;0;0;;0
Node_3;pv;0;0;;0
Node_4;pv;0;0;;0
Node_5;pv;0;0;;0
Node_6;pv;0;0;;0
Node_7;pv;0;0;;0
Node_8;pv;0;0;;0
Node_9;pv;0;0;;0
Node_10;pv;0;0;;0
Node_11;pv;0;0;;0
Node_12;pv;0;0;;0
Node_13;pv;0;0;;0
Node_14;pv;0;0;;0
Node_15;pv;0;0;;0
Node_16;pv;0;0;;0
Node_17;pv;0;0;;0
Node_18;pv;0;0;;0
Node_19;pv;0;0;;0
Node_20;pv;0;0;;0
Node_21;pv;0;0;;0
Node_22;pv;0;0;;0
Node_23;pv;0;0;;0
Node_24;pv;0;0;;0
Node_25;pv;0;0;;0
Node_26;pv;0;0;;0
Node_27;pv;0;0;;0
Node_28;pv;0;0;;0
Node_29;pv;0;0;;0
Node_30;pv;0;0;;0
Node_31;pv;0;0;;0
Node_32;pv;0;0;;0
Node_33;pv;0;0;;0
Node_34;pv;0;0;;0
Node_35;pv;0;0;;0
Node_36;pv;0;0;;0
Node_37;pv;0;0;;0
Node_38;pv;0;0;;0
Node_39;pv;0;0;;0
Node_40;pv;0;0;;0
Node_41;pv;0;0;;0
Node_42;pv;0;0;;0
Node_43;pv;0;0;;0
Node_44;pv;0;0;;0
Node_45;pv;0;0;;0
Node_46;pv;0;0;;0
Node_47;pv;0;0;;0
Node_48;pv;0;0;;0
Node_49;pv;0;0;;0
Node_50;pv;0;0;;0
Node_51;pv;0;0;;0
Node_52;pv;0;0;;0
Node_53;pv;0;0;;0
Node_54;pv;0;0;;0
Node_55;pv;0;0;;0
Node_56;pv;0;0;;0
Node_57;pv;0;0;;0
Node_58;pv;0;0;;0
Node_59;pv;0;0;;0
Node_60;pv;0;0;;0
Node_61;pv;0;0;;0
Node_62;pv;0;0;;0
Node_63;pv;0;0;;0
Node_64;pv;0;0;;0
Node_65;pv;0;0;;0
Node_66;pv;0;0;;0
Node_67;pv;0;0;;0
Node_68;pv;0;0;;0
Node_69;pv;0;0;;0
Node_70;pv;0;0;;0
Node_71;pv;0;0;;0
Node_72;pv;0;0;;0
Node_73;pv;0;0;;0
Node_74;pv;0;0;;0
Node_75;pv;0;0;;0
Node_76;pv;0;0;;0
Node_77;pv;0;0;;0
Node_78;pv;0;0;;0
Node_79;pv;0;0;;0
Node_80;pv;0;0;;0
Node_81;pv;0;0;;0
Node_82;pv;0;0;;0
Node_83;pv;0;0;;0
Node_84;pv;0;0;;0
Node_85;pv;0;0;;0
Node_86;pv;0;0;;0
Node_87;pv;0;0;;0
Node_88;pv;0;0;;0
Node_89;pv;0;0;;0
Node_90;pv;0;0;;0
Node_91;pv;0;0;;0
Node_92;pv;0;0;;0
Node_93;pv;0;0;;0
Node_94;pv;0;0;;0
Node_95;pv;0;0;;0
Node_96;pv;0;0;;0
Node_97;pv;0;0;;0
Node_98;pv;0;0;;0
Node_99;pv;0;0;;0
Node_100;pv;0;0;;0
Node_101;pv;0;0;;0
Node_102;pv;0;0;;0
Node_103;pv;0;0;;0
Node_104;pv;0;0;;0
Node_105;pv;0;0;;0
Node_106;pv;0;0;;0
Node_107;pv;0;0;;0
Node_108;pv;0;0;;0
Node_109;pv;0;0;;0
