lat,lon,i
52.07727412017738,5.08629522872887,Node_0
52.07879324526965,5.090688620022739,Node_1
52.074230544875995,5.091021320605821,Node_2
52.07170248206843,5.09562104219225,Node_3
52.07832833378286,5.0923898738564555,Node_4
52.076529355602844,5.093147635036557,Node_5
52.080832093014536,5.092562721472417,Node_6
52.07868932410549,5.095330660190726,Node_7
52.075587132156926,5.094914917492499,Node_8
52.0666749351848,5.0950025309060045,Node_9
52.06969729043596,5.093437750144633,Node_10
52.07349824135194,5.093956962445045,Node_11
52.07311099363632,5.095913366500848,Node_12
52.07250192927523,5.094534240790662,Node_13
52.074175025135816,5.095551498684714,Node_14
52.073819109604436,5.109450149288813,Node_15
52.07637637492661,5.0975874279150855,Node_16
52.08065777481234,5.095111352762073,Node_17
52.08274242370498,5.097937098441423,Node_18
52.063885997162885,5.097593231681065,Node_19
52.0740617610137,5.101307759515493,Node_20
52.083792745508,5.0973694457244845,Node_21
52.07307620370163,5.097496204696987,Node_22
52.07912508585373,5.09795119506042,Node_23
52.069183919748106,5.099599075721612,Node_24
52.08399109409484,5.0995666932633,Node_25
52.07807949339025,5.098414545998965,Node_26
52.08418849874893,5.098654268741806,Node_27
52.067660329253,5.102362482062923,Node_28
52.06284555597345,5.1000992461694254,Node_29
52.06566529600659,5.105173486197649,Node_30
52.06169316145894,5.101849723570557,Node_31
52.06408367392319,5.102894792709616,Node_32
52.074974182250905,5.103019158035229,Node_33
52.0614978603552,5.103542372317017,Node_34
52.082218084574805,5.103350859111273,Node_35
52.065906259210315,5.102586536579337,Node_36
52.06281188330675,5.102767408341594,Node_37
52.08129774491328,5.104759847377613,Node_38
52.068714057689455,5.1040677919342405,Node_39
52.07259735289803,5.10503788283443,Node_40
52.06417493634445,5.106491658340806,Node_41
52.06302955068213,5.106342641886003,Node_42
52.06038934100843,5.105978335711357,Node_43
52.0773155503374,5.107286342557091,Node_44
52.07146972572357,5.105865661145644,Node_45
52.06440693836019,5.10863602365039,Node_46
52.07637208266482,5.108301113652931,Node_47
52.07141427492607,5.10708908236604,Node_48
52.077046988717505,5.107071166702694,Node_49
52.07826300182119,5.107796261730014,Node_50
52.06077854242805,5.10928721914889,Node_51
52.06786432200345,5.108287898761077,Node_52
52.068186064659436,5.109404045828761,Node_53
52.06283201718609,5.108156258732939,Node_54
52.065351567020485,5.109285673375229,Node_55
52.066313089628984,5.108967163788806,Node_56
52.06938525366405,5.108926330196561,Node_57
52.061546355474356,5.110750554651747,Node_58
52.063813973523764,5.109297893526965,Node_59
52.06076423864779,5.109598493786087,Node_60
52.07008675955744,5.110494741867867,Node_61
52.070781242865095,5.109502936831981,Node_62
52.06748451773241,5.110145748634899,Node_63
52.063515133659244,5.110136108210907,Node_64
52.064479808440424,5.110836637708756,Node_65
52.066378665724045,5.111325317488233,Node_66
52.073819109604436,5.11450149288813,Node_67
52.078573532444224,5.089293590068767,Node_68
52.07546784121116,5.087716969447984,Node_69
52.073671544204366,5.0894343219902325,Node_70
52.07989115700292,5.090063278285551,Node_71
52.07135278064324,5.091214040694228,Node_72
52.076514635108204,5.0922855923027415,Node_73
52.08013629300823,5.092720468804972,Node_74
52.07570521618497,5.093078035184801,Node_75
52.0668081017405,5.093315813865175,Node_76
52.07227312367821,5.093924297278476,Node_77
52.07720648637535,5.095058418813213,Node_78
52.07537496269807,5.09700232962826,Node_79
52.06589060295288,5.096979292723867,Node_80
52.084330213829325,5.098026976274754,Node_81
52.07111629891482,5.0980616611134755,Node_82
52.0801215988204,5.099245429933092,Node_83
52.06267040664641,5.099895328671448,Node_84
52.064056445982395,5.101505310596346,Node_85
52.0725764632516,5.101647044717108,Node_86
52.082601738340564,5.1024377554935985,Node_87
52.07454837547136,5.105944865437933,Node_88
52.07867674653726,5.107879130939501,Node_89
52.06203649363004,5.10907858477675,Node_90
52.06493327746256,5.106311754781907,Node_91
52.061621283028664,5.1055335126759225,Node_92
52.077067768011084,5.105584016531753,Node_93
52.071704348639145,5.105831916236828,Node_94
52.06117430549264,5.107595611387852,Node_95
52.076204318083626,5.10643740425898,Node_96
52.0716305932144,5.110090384245906,Node_97
52.068103312091665,5.107951432449997,Node_98
52.06322264896952,5.109117951774262,Node_99
52.06747910696705,5.109508708169276,Node_100
52.065234026615414,5.108304620522728,Node_101
52.06548020564075,5.108454188501114,Node_102
52.06906003864514,5.108740437530809,Node_103
52.06957817447503,5.1105472766026265,Node_104
52.06632106953762,5.109802922924549,Node_105
52.06347740531891,5.110363147282538,Node_106
52.06815721672958,5.111125316176681,Node_107
52.062391122654276,5.111843608319545,Node_108
52.06557639411747,5.111466805710828,Node_109
